"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-06-15T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",25.75,"provisorisch"
"2023-06-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",22.02,"provisorisch"
"2023-06-16T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",77.47,"provisorisch"
"2023-06-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",966.86,"provisorisch"
"2023-06-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",316.88,"provisorisch"
"2023-06-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",27.06,"provisorisch"
"2023-06-16T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",22.1,"provisorisch"
"2023-06-16T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",47.77,"provisorisch"
"2023-06-16T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",969.28,"provisorisch"
"2023-06-16T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",27.01,"provisorisch"
"2023-06-16T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",21.57,"provisorisch"
"2023-06-16T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",50.94,"provisorisch"
"2023-06-16T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",966.99,"provisorisch"
"2023-06-16T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",26.79,"provisorisch"
"2023-06-17T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",23.04,"provisorisch"
"2023-06-17T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-17T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.46,"provisorisch"
"2023-06-17T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",326.03,"provisorisch"
"2023-06-17T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",27.88,"provisorisch"
"2023-06-17T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",23.14,"provisorisch"
"2023-06-17T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-17T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",967.87,"provisorisch"
"2023-06-17T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",28.07,"provisorisch"
"2023-06-17T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",22.55,"provisorisch"
"2023-06-17T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-06-17T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",965.55,"provisorisch"
"2023-06-17T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",28.22,"provisorisch"
"2023-06-18T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",24.23,"provisorisch"
"2023-06-18T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.87,"provisorisch"
"2023-06-18T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.59,"provisorisch"
"2023-06-18T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",289.27,"provisorisch"
"2023-06-18T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",30.44,"provisorisch"
"2023-06-18T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",24.64,"provisorisch"
"2023-06-18T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",NA,"provisorisch"
"2023-06-18T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",965.92,"provisorisch"
"2023-06-18T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",31.26,"provisorisch"
"2023-06-18T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",23.81,"provisorisch"
"2023-06-18T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",3.88,"provisorisch"
"2023-06-18T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",963.66,"provisorisch"
"2023-06-18T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",30.49,"provisorisch"
