"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",14.22,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",37.31,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",10.04,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",7.83,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",63.88,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-04T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",9634.61,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",15.56,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",7.61,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",18.08,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",36.74,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",9.25,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",7.48,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",65.37,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-04T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",7008.36,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",29.32,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",18.81,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",27.23,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",27.4,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",10.28,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",7.58,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",56.63,"provisorisch"
"2023-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-04T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",4.97,"provisorisch"
"2023-01-04T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.79,"provisorisch"
"2023-01-04T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",8.29,"provisorisch"
"2023-01-04T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",45.89,"provisorisch"
"2023-01-04T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",69.18,"provisorisch"
"2023-01-04T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.98,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.2,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",8.69,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.94,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",12.12,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",46.55,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",3.91,"provisorisch"
