"id","lokalisationsname","messwert_von","messwert_bis","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid"
"4860","namenlos130","0.00000000","116.71100000","T50","T50","","","","","","6341"
"4863","namenlos60","108.23700000","145.06800000","Fahrverbot","T0","","","","","","6342"
"4068","Quarzstrasse","184.42300000","313.11400000","T50","T50","","","","","","6343"
"4069","Hermetschloostrasse","0.00000000","591.26700000","T50","T50","","","","","","6344"
"4075","Riesbachstrasse","224.95100000","336.71500000","T30","T30","","","","","","6345"
"4411","Emil-Klöti-Strasse","0.00000000","249.53600000","T50","T50","","","","","","6346"
"4413","Friedheimstrasse","200.27000000","325.98300000","T20","T20","20221205000000","","","","","6347"
"4417","Friedackerstrasse","0.00000000","64.59200000","T20","T20","20190911000000","","","","","6348"
"4679","namenlos4","0.00000000","89.11900000","Fahrverbot","T0","","","","","","6349"
"4683","namenlos17","0.00000000","74.72200000","Fahrverbot","T0","","","","","","6350"
"4880","Scheuchzerstrasse","1694.21800000","1764.41600000","T30","T30","","","","","","6351"
"4088","namenlos127","0.00000000","28.39100000","Fahrverbot","T0","","","","","","6352"
"4092","namenlos309","0.00000000","190.83700000","Fahrverbot","T0","","","","","","6353"
"4421","Ankerstrasse","407.06900000","428.57600000","T30","T30","20191112000000","","","","","6354"
"4426","Pflugstrasse","112.00500000","160.21800000","Fahrverbot","T0","20191106000000","","","","","6355"
"4432","Emil-Oprecht-Strasse","0.00000000","119.76300000","T30","T30","20191016000000","","","","","6356"
"4441","Militärstrasse","375.81700000","628.24300000","T50","T50","","","","","","6357"
"4691","Bändlistrasse","927.19800000","961.10800000","T60","T60","","","","","","6358"
"4890","Talwiesenstrasse","203.12500000","279.90200000","T30","T30","","","","","","6359"
"1832","Schwandenwiesen","0.00000000","182.51000000","T30","T30","","","","","","6360"
"1833","Schärenmoosstrasse","0.00000000","163.87800000","T30","T30","","","","","","6361"
"1839","Quellenstrasse","0.00000000","54.52700000","T30","T30","","","","","","6362"
"1843","Mööslistrasse","0.00000000","93.37500000","T30","T30","","","","","","6363"
"1851","Schärenmoosstrasse","497.37000000","863.30400000","T30","T30","","","","","","6364"
"1857","Caspar-Wüst-Strasse","0.00000000","260.05200000","T30","T30","","","","","","6365"
"1867","Arterstrasse","0.00000000","62.34400000","T30","T30","","","","","","6366"
"1873","A1","446.37000000","686.35800000","T60","T60","","","","","","6367"
"1878","Röntgenplatz","321.51900000","357.17000000","Fahrverbot","T0","","","","","","6368"
"1882","MFO-Park","201.42600000","330.24200000","Fahrverbot","T0","","","","","","6369"
"1886","Zahnradstrasse","135.12000000","289.96900000","Fahrverbot","T0","","","","","","6370"
"1893","Bergacker","390.00200000","519.92000000","Fahrverbot","T0","","","","","","6371"
"1921","Anemonenstrasse","0.00000000","180.16900000","T30","T30","","","","","","6372"
"1927","Feldeggstrasse","0.00000000","102.68000000","T50","T50","","","","","","6373"
"1932","Max-Bill-Platz","130.13000000","389.80100000","Fahrverbot","T0","","","","","","6374"
"1942","Georg-Kempf-Strasse","0.00000000","74.28400000","Fahrverbot","T0","","","","","","6375"
"1952","Südstrasse","564.74700000","788.00300000","T30","T30","","","","","","6376"
"1957","Turnersteig","0.00000000","142.91800000","Fahrverbot","T0","","","","","","6377"
"1966","Verbindung Hofwiesenstrasse Schaffhauserstrasse","22.68100000","65.25200000","T50","T50","","","","","","6378"
"2237","Ebelstrasse","350.24500000","434.48100000","T30","T30","","","","","","6379"
"2238","Moussonstrasse","0.00000000","316.80200000","T30","T30","","","","","","6380"
"2250","Sihlfeldstrasse","1068.36400000","1080.97300000","Fahrverbot","T0","","","","","","6381"
