,Unnamed: 0.1,Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN,RainDur,T,T_max_h1,p,StrGlo,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,1.5km_green,1km_green,500m_green,200m_green,1.5km_trees,1km_trees,500m_trees,200m_trees,WD,WVv,WVs,Hr,NO2_tomorrow
29,29,2012-01-30,14231.0,Zch_Stampfenbachstrasse,35.21,48.18,53.42,12.63,34.5,0.0,46.1,,0.63,2.77,,407.72,0.32,1.17,970.89,13.65,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,77.5325,1.2154166666666666,1.2258333333333333,80.99666666666667,43.91
30,30,2012-01-31,14696.0,Zch_Stampfenbachstrasse,25.17,43.91,43.14,18.45,38.02,0.0,34.32,,0.51,2.38,,198.05,-1.01,-0.05,966.03,12.34,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,29.790833333333335,2.2912500000000002,2.2933333333333334,83.95333333333333,38.02
31,31,2012-02-01,15089.0,Zch_Stampfenbachstrasse,15.35,38.02,32.19,38.33,52.45,0.0,38.22,,0.48,3.33,,9.32,-4.3,-3.33,966.78,40.64,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,38.21208333333333,2.908333333333333,2.9129166666666664,71.17666666666666,34.6
32,32,2012-02-02,14648.0,Zch_Stampfenbachstrasse,13.95,34.6,29.27,41.08,53.3,0.0,37.43,,0.49,5.32,,14.6,-7.21,-5.43,968.15,58.38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,46.400416666666665,3.7691666666666666,3.7737499999999997,77.65916666666666,41.98
33,33,2012-02-03,15630.0,Zch_Stampfenbachstrasse,20.87,41.98,38.69,32.34,48.91,0.0,29.29,,0.48,5.88,,0.0,-9.84,-7.92,975.15,98.29,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,52.73500000000001,2.42,2.4274999999999998,66.07333333333334,39.32
34,34,2012-02-04,11352.0,Zch_Stampfenbachstrasse,13.07,39.32,31.04,33.34,59.98,0.0,34.56,,0.47,7.01,,0.0,-10.56,-7.5,978.84,101.07,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,47.717083333333335,2.0633333333333335,2.064583333333333,64.17875,40.0
35,35,2012-02-05,8694.0,Zch_Stampfenbachstrasse,11.35,40.0,30.02,28.78,50.39,0.0,46.56,,0.5,6.27,,0.62,-10.5,-8.15,976.35,111.75,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,40.252500000000005,1.8004166666666668,1.8120833333333335,74.63208333333334,49.64
36,36,2012-02-06,13758.0,Zch_Stampfenbachstrasse,25.67,49.64,46.54,23.19,44.53,0.0,44.85,,0.61,5.92,,0.0,-10.93,-8.42,977.0,105.7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,58.18,2.11,2.1233333333333335,74.77208333333333,43.05
37,37,2012-02-07,14345.0,Zch_Stampfenbachstrasse,18.21,43.05,37.12,27.23,38.79,0.0,42.74,,0.55,6.77,,1.3,-10.64,-9.08,975.48,58.4,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,42.95458333333334,2.81125,2.8179166666666666,76.18333333333334,43.81
38,38,2012-02-08,14893.0,Zch_Stampfenbachstrasse,18.64,43.81,37.86,25.52,37.67,0.0,67.19,,0.67,10.02,,2.0,-7.95,-5.93,977.12,81.86,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,46.07083333333333,2.8662499999999995,2.8695833333333334,74.10666666666667,67.07
39,39,2012-02-09,15302.0,Zch_Stampfenbachstrasse,37.25,67.07,64.93,15.72,33.54,0.0,90.55,,0.8,10.67,,56.38,-6.73,-3.72,978.36,77.77,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,126.77749999999999,1.3787500000000001,1.3979166666666665,77.35583333333334,45.15
